[2021-12-16 20:00:03][INFO][tid:8398][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 20:00:03][INFO][tid:8398][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 20:00:28][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 20:00:29][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 20:00:29][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-17 11:30:42][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-17 11:30:46][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-17 11:30:46][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-17 11:30:49][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-17 11:30:50][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-17 11:30:50][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-17 11:31:22][INFO][tid:3788][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-17 11:32:10][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-17 11:32:11][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-17 11:32:11][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-17 11:32:23][INFO][tid:3788][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8001
[2021-12-17 11:32:23][INFO][tid:3788][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8001
[2021-12-17 11:32:32][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-17 11:32:33][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-17 11:32:33][INFO][tid:3788][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
